episode,episode_loss
1,0.0005832298774626069
2,0.0005228813685919574
3,0.000796380448249808
4,0.0004811163725972865
5,0.00016948113541672235
6,0.0001397992783451974
7,0.00016597050207998283
8,0.0007416730870953336
9,0.0004863235434828629
10,0.000586877289260017
11,0.0007340036872414029
12,0.0005491453952027581
13,0.000985392107453201
14,0.0008891159878759128
15,0.0006125208527673893
16,0.0005339859317679103
17,0.0006310164163074834
18,0.0006062686016010712
19,0.0005084672852789813
20,0.0004305905689444256
21,0.0004201541139789495
22,0.0003380555992320989
23,0.0003895399045538239
24,0.0004142325260978569
25,0.0008029312567010667
26,0.000627215613175871
27,0.00043425942405722
28,0.0004079519096973984
29,0.0005997094943138238
30,0.0009546365227646358
31,0.000697997107924912
32,0.0005684627893002932
33,0.0005109396318273086
34,0.0007108515829526051
35,0.0005201715848381845
36,0.000663250314010795
37,0.0006497243218565551
38,0.0007428356264657821
39,0.0007200291181525533
40,0.0006488666971678853
41,0.0006494413214063065
42,0.0007750299178402952
43,0.0007198377550969507
44,0.0006843044962835616
45,0.0009111611938033815
46,0.0008206276914510425
47,0.0008701247300320704
48,0.0006861682186209936
49,0.0009208586522459334
50,0.0007306483268967852
51,0.001063775217704778
52,0.0009280472745197744
53,0.0008398053285505046
54,0.0009731039278290516
55,0.0010870147318836109
56,0.0008558888685434969
57,0.0008206770628079078
58,0.0008165778311353827
59,0.0009445466945065178
60,0.0008960421098255744
61,0.0007004338458211841
62,0.0009883063841178747
63,0.0011177026988459854
64,0.0010940407697085498
65,0.0009870669801741662
66,0.0009894657995328233
67,0.0012511827852225877
68,0.0010199596010409997
69,0.0008176770748428276
70,0.0010413075477348655
71,0.0013667784599145682
72,0.0012891950067973488
73,0.0011568378720853833
74,0.0011459236117107572
75,0.0011648907444425046
76,0.0010015601164057096
77,0.0009107681202410262
78,0.0010538912321198806
79,0.0009544712351819885
80,0.0011963380901660356
81,0.0009956157426506886
82,0.0010147879830107005
83,0.0012233536467575173
84,0.0013489886404140779
85,0.0011110959279153215
86,0.0011997244806797613
87,0.0013809275065247517
88,0.0013013835006628171
89,0.0012570621227727286
90,0.0014091733068602884
91,0.0014281964232352386
92,0.0012695657599593572
93,0.0012927878255833917
94,0.0013050628652323097
95,0.0016068350722355442
96,0.0014096782637468082
97,0.0019297611453646189
98,0.0013630203795314412
99,0.001376402722685487
100,0.001762194599284576
101,0.0016909703500993876
102,0.001362112592485371
103,0.0014795690752050308
104,0.0019402574202219498
105,0.002052882320496128
106,0.0017561503505382303
107,0.0015406145205830283
108,0.001998969776433937
