episode,episode_reward
1,-0.5623092398790889
2,0.5378967303324521
3,-0.9875308147956594
4,0.0003947636337976457
5,0.08325167186569529
6,0.01197717069044489
7,-0.38856317400038437
8,1.2034400013694233
9,1.0124168273596938
10,-0.9595726519059454
11,2.579992578679739
12,0.3851507482433736
13,-1.7942914119200244
14,0.469572453745232
15,-0.1016432075612719
16,0.34014582109475855
17,0.303868078907085
18,1.2190892391275288
19,-0.2283820503082911
20,0.24111486496041637
21,0.6500257563604991
22,-0.5881152802846946
23,0.8156968550110297
24,1.9462073679159255
25,4.3168350066169765
26,-0.3232317064918118
27,-0.2509326490809685
28,1.216370710866827
29,2.4197647048211137
30,1.3408948719548124
31,0.6098937610932934
32,0.5227680504136348
33,2.7290667313155517
34,1.8211782114962318
35,-0.07728134740671455
36,4.4876266604631185
37,0.19358640248179734
38,1.319310442962797
39,-0.29106688951231785
40,4.075875748147528
41,3.351978139440547
42,5.450297574709985
43,4.280726794567337
44,2.1370983635852823
45,0.6655739417175525
46,0.6352431998638207
47,3.78638922884074
48,4.758896805179336
49,5.231055834491048
50,1.2366344240793867
51,0.723635784970357
52,-0.3000487208116012
53,0.7097810353261186
54,3.706071270552893
55,0.6442108850385987
56,0.7385525883438376
57,3.686154355162462
58,4.155455216964229
59,0.7091230696665283
60,0.6735933375540759
61,2.365746029662833
62,6.225842202253322
63,1.1026854251523979
64,2.6177844594753656
65,0.030972388499086838
66,-0.16699473539861787
67,2.613657206731026
68,1.9643636488155034
69,0.5894866314579659
70,0.937348457760848
71,1.0404217263114175
72,1.1037422085975772
73,2.5107754243512046
74,1.0942403167208201
75,0.35922374041512656
76,1.06649961552877
77,1.1538057320442778
78,0.9097337570134306
79,1.0279078548315015
80,4.184047953360645
81,-0.10047859001517222
82,5.539716506175247
83,1.731783599242907
84,0.6310903349856185
85,1.4318168482103875
86,4.1849258431159955
87,2.4230043640139716
88,6.870371576841983
89,1.5089910116251914
90,5.879099627581913
91,1.8495580331269894
92,4.5149822218969735
93,1.4611878845823931
94,5.621629922415203
95,1.068493325413217
96,4.654347860614752
97,1.7261413173998688
98,4.794550997498328
99,1.2497439269922668
100,-0.2731526427029481
101,3.635236256948902
102,0.8874317875084202
103,1.4072002979117992
104,5.163309278017202
105,0.02057913190373417
106,0.5672859832103352
107,0.8359357993782468
108,1.5203740250939248
109,7.409459848654095
110,6.059481397993908
111,6.975602009839783
112,0.850535693133044
113,0.6405023084022602
114,3.9560933356877177
115,0.19178111262123024
116,0.9148634712843968
117,6.091260971920801
118,0.45004935650884315
119,1.8500355584181511
120,1.7986608387015632
121,1.9150020576827895
122,3.449005525358032
123,3.494198005711247
124,3.686310310843683
125,6.4886687193260055
126,1.6293620293255715
127,6.1976992803255815
128,4.58186741339332
129,4.5733711639841745
130,1.278510867234804
131,4.137130209636375
132,0.893047000520244
133,7.8772190805000655
134,1.0669680509770492
135,7.073893292530865
136,3.506173791599428
137,3.4295710547276763
138,1.0944999247225082
139,6.886379668986212
140,6.550386884500905
141,5.012049122741931
142,1.7146005816501497
143,0.6837958197051897
144,0.14633466471475096
145,3.8655648562910696
146,1.7452978310894247
147,1.3860192872262136
148,1.113531613633799
149,0.6461942828051376
150,4.9508942502373205
151,5.021589921475264
152,4.084955732417217
153,1.2359957187128097
154,1.130831742731111
155,6.3896445875359
156,1.2331244856102477
157,1.269805939035576
158,0.1953735028214342
159,1.017886898520298
160,1.2840504395583936
161,0.5598858852922962
162,7.662120766408913
163,2.8443851476218964
164,2.386191195309406
165,0.6084489540431641
166,7.020307958216901
167,8.169516315321303
168,1.3634001462686995
169,1.0713110677966549
170,-0.07144123575205454
171,1.25529296058035
172,-0.15204869929108805
173,4.861455168391397
174,6.484704659276919
175,8.335185486356874
176,3.3790672868827856
177,1.1240374217946734
178,7.09236755940128
179,1.5522943781050893
180,1.1161639932851033
181,1.289577548125901
182,5.690935289739027
183,5.254406376188027
184,6.7763177474558995
185,1.4806534155796407
186,7.460412277577975
187,2.4899463822224157
188,2.335597157086199
189,1.0305673447925827
190,6.6478119791939205
191,0.5594304142301663
192,2.352581624211717
193,7.6060309136424715
194,2.3724692846828854
195,7.454975973122799
196,6.556809862467697
197,5.4372569290712
198,7.094663207392088
199,2.065787231601046
200,7.851001536358038
201,6.36862711706207
202,5.597175851990507
203,6.12280493698772
204,6.807844906839615
205,0.9400817251919314
206,1.9057039822980957
207,6.940574588040109
208,1.2568542900717754
209,0.5792075205584549
210,6.1194758713424005
211,3.1980008687696566
212,1.0093356599564205
213,1.336031110570504
214,1.7816987264137407
215,8.217508592964395
216,1.6860252713950852
217,1.2154038296264664
218,8.5336426506536
219,2.0649019653418357
220,8.118659049220996
221,5.866223911393219
222,0.6647888078162099
223,7.354349608216165
224,1.6462778087647438
225,3.6771999179942414
226,7.655281746896544
227,5.950295723307802
228,3.671198706349225
229,6.577142492752169
230,0.3649878423342275
231,0.9775266217096416
232,1.7157004588237859
233,1.051401083523189
234,5.183138734518901
235,0.5852982271671242
236,2.1674984563399087
237,3.7362550171670317
238,1.7113727285589118
239,1.944301349792141
240,6.997603427348703
241,1.0554413104487472
242,1.090283976673798
243,9.006519265931605
