episode,episode_loss
1,0.0005628172198951703
2,0.0005514718026143595
3,0.0007451907309471622
4,0.0004625429405028366
5,0.00018894333461214538
6,0.0001548509324579971
7,0.00016486784392731756
8,0.0006197253691396558
9,0.0004394073460259408
10,0.0005806077709470022
11,0.0008630915427703359
12,0.0006025690257494774
13,0.0010052365288997645
14,0.0009712306558549966
15,0.0006233189496491658
16,0.0005915795088748425
17,0.0005828988266460199
18,0.0005918103190543618
19,0.0005495601144502871
20,0.0004938442324355636
21,0.0005102344454956308
22,0.00044009290525984457
23,0.00045095746515601477
24,0.00047508188040482644
25,0.0007317064774392675
26,0.0006677975115529815
27,0.0005037053436512545
28,0.0005267129351508744
29,0.0005722664686872454
30,0.0007100228873559177
31,0.0006504103867406403
32,0.0005799637183949854
33,0.0005132048587718543
34,0.0004844293811950751
35,0.0005652407248456416
36,0.0006519421127334696
37,0.0007418051323001568
38,0.0005951737319784505
39,0.0007473908829394661
40,0.0007195177485488192
41,0.000639894682882143
42,0.0007233143486599955
43,0.0006811609676492119
44,0.0007136067437213136
45,0.0009258684499761171
46,0.000827155981419815
47,0.0007878386090779382
48,0.0008072559014383134
49,0.0006716062671330292
50,0.0007957795854645878
51,0.0008035869095548396
52,0.0006358911114003849
53,0.0008536032354251282
54,0.000743403326764348
55,0.0010948810699379205
56,0.0007729002589633363
57,0.0007619275950543981
58,0.0008338062138396449
59,0.0008789405730480905
60,0.0008343128998055204
61,0.0006329778956973718
62,0.0007220337597934145
63,0.0008221349688403915
64,0.0011962411748725802
65,0.0010251034071275388
66,0.0008665664242312593
67,0.0008937986842485972
68,0.0012145921144919056
69,0.001078139170232813
70,0.0008258498329803207
71,0.0008957536289623628
72,0.0008081630556493081
73,0.0011482681724056232
74,0.001256265293271835
75,0.001108124895374261
76,0.000950354010181775
77,0.001012163014820544
78,0.0011852849847711032
79,0.0010289834898440093
80,0.0010858348220594168
81,0.0011804893311198122
82,0.0011410402805758788
83,0.0011848993419248256
84,0.0013975524757009383
85,0.001150137750503038
86,0.0010609961835952061
87,0.001361370329663808
88,0.0016782284758861236
89,0.0012207679405008324
90,0.0014166527245025565
91,0.0013743510339519985
92,0.0011792145485828986
93,0.0013477470153399433
94,0.0013311500082463248
95,0.0017116414088550734
96,0.0018863518189247107
97,0.0020188854705627327
98,0.0013594427594124147
99,0.0013826736978935225
